Име,Училище,Град,Област,Резултат_Олимпиада,Резултат_ПМС,Резултат_МатВс,Резултат_Кенг
800080,,,Ямбол,,,,20.0
800081,,,Ямбол,,,,20.0
800082,,,Ямбол,,,,20.0
800083,,,Ямбол,,,,20.0
800084,,,Ямбол,,,,19.0
800085,,,Ямбол,,,,19.0
800086,,,Ямбол,,,,18.0
800087,,,Ямбол,,,,16.0
800088,,,Ямбол,,,,16.0
800089,,,Ямбол,,,,15.0
800090,,,Ямбол,,,,14.0
800091,,,Ямбол,,,,14.0
800092,,,Ямбол,,,,12.0
800093,,,Ямбол,,,,9.0
800094,,,Ямбол,,,,3.0
