Име,Училище,Град,Област,Резултат_Олимпиада,Резултат_ПМС,Резултат_МатВс,Резултат_Кенг,GS,GS_rank,GI_rank,GI,badm,SGI,AGI,aperc_olymp,aperc_pms,aperc_matvs,aperc_keng,trans_keng,trans_olymp,trans_pms,comp_count,BL_mg,BL,BR_mg,BR,DB_mg,DB,GB_mg,GB,HS_mg,HS,KR,KS_mg,KS,LV_mg,LV,MN_mg,MN,PL_mg,PL,PK_mg,PK,PV_mg,PV,PZ_mg,PZ,RS_mg,RS,RZ_mg,RZ,SF_smg,SF_npmg,SF,SH_mg,SH,SL_mg,SL,SM_mg,SM,SO_mg,SO,SS_mg,SS,SZ_mg,SZ,TR,VC_mg,VC,VD_mg,VD,VR_mg,VR,VT,YM_mg,YM,top1adm,top4adm,top4,top1
901500,,,Ямбол,13.0,26.0,15.0,,0.8897438975590237,792.0,538.0,0.8836153261304521,1,0.43958774495321234,0.5709736285624993,0.6190476190476191,0.5306122448979592,0.35294117647058826,,,0.006190476190476191,0.6842105263157895,3,9332.835820895521,0,85.33333333333334,0,683.4285714285714,0,512.0,0,11496.598639455784,0,0,455.0,0,66.66666666666667,0,117.0,0,91.0,0,182.0,0,555.3113553113553,0,113.9047619047619,0,403.0,0,113.9047619047619,0,419.1324675324675,797.1721826560536,0,113.9047619047619,0,341.7142857142857,0,113.9047619047619,0,95.0,0,113.9047619047619,0,113.9047619047619,0,0,113.9047619047619,0,683.4285714285714,0,1316.0037002775207,0,0,113.9047619047619,1,1,1,0,0
901013,,,Ямбол,18.5,22.5,16.0,,0.8444637855142056,864.0,622.0,0.8357423569427771,1,0.4157715322336088,0.557535852796717,0.8809523809523809,0.45918367346938777,0.3764705882352941,,,0.008809523809523809,0.5921052631578947,3,10251.492537313432,0,80.55555555555556,0,798.5714285714286,0,483.33333333333337,0,13401.360544217687,0,0,531.5,0,88.09523809523809,0,137.5,0,100.5,0,215.5,0,680.5860805860806,0,133.09523809523807,0,472.0,0,133.09523809523807,0,447.63116883116885,922.9437229437231,0,133.09523809523807,0,399.2857142857143,0,133.09523809523807,0,124.5,0,133.09523809523807,0,133.09523809523807,0,0,133.09523809523807,0,798.5714285714286,0,1576.6045548654242,0,0,133.09523809523807,1,1,1,0,0
901910,,,Ямбол,5.5,24.75,10.0,,0.7430152060824329,1051.0,813.0,0.7404223489395758,1,0.3683510019101417,0.5317142818569092,0.2619047619047619,0.5051020408163265,0.23529411764705882,,,0.0026190476190476194,0.6513157894736842,3,7642.230026338893,0,71.72222222222223,0,454.1428571428571,0,430.3333333333333,0,7670.068027210884,0,0,302.5,0,44.44444444444444,0,77.0,0,69.5,0,118.25,0,420.34559643255295,0,75.69047619047619,0,266.75,0,75.69047619047619,0,318.78181818181815,677.1470465018851,0,75.69047619047619,0,227.07142857142856,0,75.69047619047619,0,47.5,0,75.69047619047619,0,75.69047619047619,0,0,75.69047619047619,0,454.1428571428571,0,1066.6975023126734,0,0,75.69047619047619,1,1,1,0,0
901001,,,Ямбол,20.0,20.0,9.5,,0.6412164865946379,1281.0,1069.0,0.6317879151660665,1,0.3143067087040776,0.5037408693245056,0.9523809523809523,0.40816326530612246,0.2235294117647059,,,0.009523809523809523,0.5263157894736842,3,10179.104477611942,0,61.111111111111114,0,811.4285714285714,0,430.4761904761905,0,13605.442176870749,0,0,540.0,0,95.23809523809524,0,140.0,0,100.0,0,220.0,0,575.8241758241759,0,135.23809523809524,0,480.0,0,135.23809523809524,0,348.6181818181818,884.2549923195083,0,135.23809523809524,0,405.7142857142857,0,135.23809523809524,0,119.0,0,135.23809523809524,0,135.23809523809524,0,0,135.23809523809524,0,811.4285714285714,0,1463.0192502532927,0,0,135.23809523809524,1,1,1,0,0
901840,,,Ямбол,15.0,13.25,13.0,,0.5834333733493398,1434.0,1225.0,0.5763619447779113,1,0.28673297088598143,0.49004060247620085,0.7142857142857143,0.27040816326530615,0.3058823529411765,,,0.0071428571428571435,0.34868421052631576,3,7711.764705882353,0,55.388888888888886,0,601.9047619047619,0,332.33333333333337,0,10201.680672268907,0,0,402.0,0,71.42857142857143,0,101.5,0,71.5,0,172.0,0,552.3809523809524,0,100.31746031746032,0,359.0,0,100.31746031746032,0,383.4779220779221,777.2727272727273,0,100.31746031746032,0,300.95238095238096,0,100.31746031746032,0,101.0,0,100.31746031746032,0,97.92857142857143,0,0,100.31746031746032,0,601.9047619047619,0,1279.5031055900622,0,0,100.31746031746032,1,1,1,0,0
901313,,,Ямбол,,8.5,15.0,,0.5264105642256903,1596.0,1397.0,0.5264105642256903,1,0.2618827741036219,0.4780130594224716,,0.17346938775510204,0.35294117647058826,,,,0.2236842105263158,2,5482.001755926251,0,50.333333333333336,0,302.0,0,302.0,0,5264.105642256903,0,0,203.0,0,66.66666666666667,0,47.0,0,47.0,0,85.5,0,381.6053511705686,0,50.333333333333336,0,179.5,0,50.333333333333336,0,367.98961038961033,571.3657310431504,0,50.333333333333336,0,151.0,0,50.333333333333336,0,30.0,0,50.333333333333336,0,17.0,0,0,50.333333333333336,0,302.0,0,869.1951896392229,0,0,50.333333333333336,1,1,1,0,0
901120,,,Ямбол,8.5,11.75,12.0,,0.5261964785914366,1600.0,1412.0,0.5221893357342937,1,0.25978276490437974,0.4770102808909214,0.40476190476190477,0.23979591836734693,0.2823529411764706,,,0.004047619047619048,0.3092105263157895,3,5514.7058823529405,0,50.16666666666667,0,402.85714285714283,0,301.0,0,6871.148459383753,0,0,269.5,0,53.333333333333336,0,66.5,0,49.5,0,116.0,0,408.0586080586081,0,67.14285714285714,0,240.5,0,67.14285714285714,0,348.1220779220779,601.7316017316017,0,67.14285714285714,0,201.42857142857142,0,67.14285714285714,0,66.5,0,67.14285714285714,0,63.976190476190474,0,0,67.14285714285714,0,402.85714285714283,0,926.5010351966873,0,0,67.14285714285714,1,1,1,0,0
901004,,,Ямбол,9.0,11.5,12.0,,0.5213325330132053,1619.0,1438.0,0.5170896758703482,1,0.25724574691326213,0.47580163105782425,0.42857142857142855,0.23469387755102042,0.2823529411764706,,,0.004285714285714286,0.3026315789473684,3,5664.7058823529405,0,49.66666666666667,0,417.1428571428571,0,298.0,0,7109.243697478991,0,0,279.0,0,53.333333333333336,0,69.0,0,51.0,0,120.0,0,417.58241758241763,0,69.52380952380952,0,249.0,0,69.52380952380952,0,349.35064935064935,613.6363636363636,0,69.52380952380952,0,208.57142857142856,0,69.52380952380952,0,69.0,0,69.52380952380952,0,65.85714285714286,0,0,69.52380952380952,0,417.1428571428571,0,950.3105590062112,0,0,69.52380952380952,1,1,1,0,0
901290,,,Ямбол,16.5,14.5,9.0,,0.5155402160864345,1654.0,1476.0,0.5077616446578632,1,0.25260516623942253,0.4735987504799236,0.7857142857142857,0.29591836734693877,0.21176470588235294,,,0.007857142857142858,0.3815789473684211,3,7979.850746268657,0,49.0,0,645.4285714285714,0,331.1428571428571,0,10816.326530612245,0,0,429.5,0,78.57142857142857,0,111.5,0,78.5,0,175.5,0,498.9010989010989,0,107.57142857142857,0,382.0,0,107.57142857142857,0,326.425974025974,729.9539170506912,0,107.57142857142857,0,322.7142857142857,0,107.57142857142857,0,100.5,0,107.57142857142857,0,107.57142857142857,0,0,107.57142857142857,0,645.4285714285714,0,1177.0186335403725,0,0,107.57142857142857,1,1,1,0,0
901270,,,Ямбол,9.5,12.75,10.5,,0.5117867146858743,1667.0,1480.0,0.5073081432573029,1,0.25237955487652497,0.4734919132726584,0.4523809523809524,0.2602040816326531,0.24705882352941178,,,0.004523809523809524,0.3355263157894737,3,5514.179104477612,0,48.833333333333336,0,424.42857142857144,0,293.0,0,7125.850340136054,0,0,282.5,0,46.66666666666667,0,73.0,0,54.0,0,118.0,0,396.3369963369964,0,70.73809523809524,0,250.75,0,70.73809523809524,0,328.4025974025974,594.3722943722944,0,70.73809523809524,0,212.21428571428572,0,70.73809523809524,0,68.5,0,70.73809523809524,0,70.73809523809524,0,0,70.73809523809524,0,424.42857142857144,0,908.9026915113873,0,0,70.73809523809524,1,1,1,0,0
